doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500023649,Lia Palazzo,"Hagedorn, Jim",FALSE,MN,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023651,Lynn Hatcher,"Amodei, Mark",FALSE,NV,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023652,Maddie Mitchell,"Hollingsworth, Trey",FALSE,IN,9,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023653,Maddison Stone,"Thompson, Glenn",FALSE,PA,15,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023654,Maggie Ayrea,"Graves, Garret",FALSE,LA,6,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023656,Kelle Strickland,"Walorski, Jackie",FALSE,IN,2,R,2021,Original,2021-10-13,2021-10-14,2,Congressional Institute,"Williamsburg, VA",domestic,NA
500023657,Matt Gaetz,"Gaetz, Matt",TRUE,FL,1,R,2021,Original,2021-10-10,2021-10-16,7,Us-qatar Business Council,"Doha, Qatar",international,NA
500023658,Matthew Tucker,"Joyce, John",FALSE,PA,13,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023659,Christopher Marklund,"Westerman, Bruce",FALSE,AR,4,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023660,Christine Hill,"Bost, Mike",FALSE,IL,12,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023661,Joshua Aaron Rogin,"Deutch, Theodore E.",FALSE,FL,22,D,2021,Original,2021-10-14,2021-10-16,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"New York, NY",domestic,NA
500023663,McLaurine Pinover,"McCaul, Michael",FALSE,TX,10,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023664,Micah Bock,"Spartz, Victoria",FALSE,IN,5,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023665,Michael Comer,"Scalise, Steve",FALSE,LA,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023666,Michele Exner,"McCarthy, Kevin",FALSE,CA,20,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
