Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,3242481,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242671,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242480,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242675,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242510,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242647,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242690,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242637,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242512,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242619,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242687,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242506,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
